Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
36,32.18869638442993,44.17554545402527,42.77999758720398,23.875901460647583,36.204105377197266,25.637301206588745,36.097607135772705,36.299705505371094,36.32749056816101,36.09649443626404,36.3740770816803,35.91542434692383,21.823877334594727,21.498337268829346,19.870046138763428,30.362932920455933,36.272292375564575
37,31.24890160560608,39.12894034385681,37.39649820327759,23.520625829696655,32.10733342170715,24.973232746124268,32.336018800735474,32.17793917655945,32.32578372955322,32.305806159973145,32.166635513305664,31.765684604644775,21.790327072143555,21.166195154190063,20.003283739089966,28.895087242126465,32.33959484100342
38,37.18973398208618,45.31598496437073,42.436800718307495,23.60029435157776,31.870765447616577,24.998332500457764,37.18204736709595,37.335784673690796,37.52223873138428,37.47979426383972,37.13737154006958,37.51517152786255,23.01239013671875,23.643256902694702,19.866304636001587,29.54011082649231,36.97941875457764
39,34.635338306427,50.0127112865448,45.55564570426941,24.26752996444702,39.135234355926514,25.408196926116943,41.75890827178955,41.380728244781494,41.32285737991333,41.67114043235779,41.84929537773132,41.25334692001343,22.10809350013733,23.379108667373657,19.880463123321533,31.522814989089966,41.87422490119934
40,35.317293643951416,50.14358353614807,50.017155170440674,24.087450981140137,39.77381467819214,25.661115407943726,41.17691373825073,40.63613200187683,40.80231428146362,40.84836268424988,41.05134177207947,40.67726707458496,21.89447832107544,21.72925114631653,20.1635422706604,31.8690664768219,41.26363658905029
41,31.262389659881592,48.52499985694885,50.12624192237854,24.326986074447632,43.186582803726196,25.817559003829956,43.1123526096344,43.01390075683594,42.63514304161072,42.69197058677673,43.06707191467285,42.5936176776886,22.15916347503662,21.32699751853943,20.167027235031128,32.42227745056152,43.10384249687195
42,31.34288001060486,42.28505873680115,44.67085862159729,25.293987274169922,42.13162708282471,27.22322130203247,41.736067056655884,41.48866128921509,41.209900856018066,41.44274020195007,41.80287146568298,40.921674728393555,25.097885847091675,24.967397689819336,20.88056254386902,34.53764057159424,41.8376259803772
43,31.858158111572266,54.144975900650024,53.69298839569092,24.735032558441162,46.953060150146484,26.184313535690308,46.9689519405365,46.392252922058105,46.31945729255676,46.45675754547119,46.788212299346924,45.69223952293396,21.737348794937134,21.24895977973938,20.58409547805786,34.05809450149536,46.983134031295776
44,31.41025996208191,41.479573488235474,37.18624424934387,23.394402265548706,30.471027851104736,25.09157371520996,30.42514944076538,30.506718635559082,30.68103289604187,30.512935876846313,30.550196409225464,30.432527780532837,21.25856852531433,20.96583890914917,20.126790523529053,28.661747694015503,30.420517921447754
45,35.34700059890747,50.074570417404175,50.30403184890747,24.0519700050354,39.79480743408203,25.66952395439148,41.1782124042511,40.57470679283142,40.784517765045166,40.949533462524414,41.0860857963562,40.69305610656738,21.916208744049072,21.6939959526062,20.19416856765747,31.870306730270386,41.299261808395386
46,30.82966136932373,41.96464443206787,43.43725395202637,25.28935408592224,42.28541302680969,26.11817979812622,42.167845487594604,41.858906507492065,41.43727493286133,41.965896129608154,41.73679852485657,37.212626695632935,25.473029613494873,24.340180158615112,20.32357406616211,31.149402618408203,42.20929217338562
47,32.311126470565796,40.16599178314209,41.9052619934082,23.736679077148438,32.01524806022644,25.348745107650757,31.657288312911987,32.12959384918213,32.730496883392334,32.010021924972534,32.63058948516846,31.825632095336914,21.730961799621582,21.37714958190918,20.46365261077881,29.292029857635498,32.066211223602295
48,31.25318741798401,38.867329835891724,48.59012222290039,28.220869064331055,40.691242933273315,30.878349542617798,39.073781967163086,32.86000108718872,32.16358709335327,33.728840827941895,40.22258543968201,31.930675268173218,25.44348978996277,24.678630113601685,20.598286867141724,35.95604729652405,41.30777287483215
49,32.09168887138367,54.297683000564575,53.180901288986206,24.79515051841736,47.02241015434265,26.3484787940979,47.04351305961609,46.50514602661133,46.51576375961304,46.530773401260376,46.86849784851074,46.044095277786255,21.892700672149658,21.40425419807434,20.72142505645752,34.092957496643066,47.0346794128418
50,32.05431413650513,54.31837439537048,53.22451329231262,24.8629412651062,46.968589305877686,26.529406785964966,47.006486892700195,46.48734784126282,46.498501777648926,46.50284957885742,46.84318971633911,46.00968909263611,21.906969785690308,21.298665285110474,20.611466884613037,34.080947399139404,47.00041341781616
