Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
35,17.677152633666992,18.96255898475647,17.116402626037598,12.680725812911987,14.281533002853394,12.283687114715576,14.196962118148804,14.326520204544067,14.221212387084961,14.405922651290894,14.33642578125,14.31062650680542,12.066664218902588,11.841037511825562,11.467261791229248,13.375112771987915,14.24879264831543
36,17.745479106903076,18.960511207580566,17.38287901878357,13.014182567596436,14.00435471534729,12.61140775680542,13.937945127487183,14.029040336608887,13.998619794845581,13.9898521900177,13.967187881469727,13.989335536956787,12.331358432769775,11.832250118255615,11.721689939498901,13.787187814712524,13.985154151916504
37,18.484550952911377,20.630945920944214,17.96518349647522,13.121866226196289,14.841394901275635,12.702840805053711,15.171675682067871,15.281189441680908,15.389704704284668,15.15099287033081,15.384711265563965,15.35049295425415,12.561606645584106,12.309819459915161,11.718899726867676,14.079848051071167,15.417602300643921
38,18.82204532623291,19.417907238006592,17.20048189163208,13.503521919250488,14.308157920837402,13.119386672973633,14.362431049346924,14.453975200653076,14.657715320587158,14.478328704833984,14.370155334472656,14.563019752502441,12.841857671737671,12.084989547729492,12.246235132217407,14.092989683151245,13.919463396072388
39,18.458357095718384,22.015592336654663,19.27988362312317,13.323622941970825,16.66969084739685,12.898242712020874,16.630780696868896,16.65477681159973,16.33197331428528,16.5768141746521,16.532824277877808,16.563621997833252,12.557546377182007,12.454785346984863,11.786401987075806,14.524610757827759,16.536164045333862
40,17.591771364212036,18.59667158126831,16.665153741836548,12.666839122772217,14.22412371635437,12.309664011001587,14.150631666183472,14.176766633987427,14.139836072921753,14.199156761169434,14.12313461303711,14.199708223342896,12.04288649559021,11.777256727218628,11.460735082626343,13.441352844238281,14.163145303726196
41,18.393378734588623,19.505565881729126,17.07338571548462,13.306095361709595,14.470796823501587,12.894722700119019,13.904237031936646,14.403865337371826,14.423429012298584,14.232772588729858,14.27902889251709,14.47266674041748,12.544442415237427,12.3038649559021,12.092205047607422,13.9160737991333,14.111821174621582
42,17.765971899032593,25.85062837600708,16.872358560562134,12.720353841781616,14.385878801345825,12.349838972091675,14.362967014312744,14.41067624092102,14.193913221359253,14.448364019393921,14.456818580627441,14.190939903259277,12.140310287475586,11.856180906295776,11.680356979370117,13.54080843925476,14.462491035461426
43,19.481415271759033,22.024409532546997,17.390037775039673,13.917738676071167,15.236010551452637,13.777785539627075,15.44422721862793,15.62902545928955,15.826735019683838,16.177778959274292,15.50345754623413,16.129436254501343,12.75852108001709,12.403196334838867,12.838751792907715,15.077705383300781,15.325827360153198
44,17.65265130996704,19.064380645751953,17.38399887084961,12.99178695678711,13.95376181602478,12.565572738647461,13.85858941078186,13.993136882781982,13.91535472869873,13.943672180175781,13.904030084609985,13.894194602966309,12.314730882644653,11.82816767692566,11.663410186767578,13.739718437194824,13.940194129943848
45,17.868693113327026,19.67315936088562,16.40511178970337,12.698249816894531,13.736865282058716,12.290852069854736,13.839946269989014,13.890671968460083,14.156553030014038,13.752286434173584,13.772393465042114,13.962815046310425,12.14451789855957,11.861801385879517,11.540928602218628,13.289124727249146,13.752222061157227
46,18.838152170181274,21.059924840927124,19.128596544265747,14.251178741455078,16.427942991256714,13.83634328842163,15.509140729904175,15.376749515533447,15.4373197555542,15.481852054595947,16.078975677490234,15.52822208404541,13.494904279708862,13.21791696548462,12.332850694656372,15.319511413574219,16.390519857406616
47,17.66349697113037,26.386393785476685,16.90795588493347,12.679683685302734,14.362277030944824,12.285828113555908,14.343818187713623,14.084501504898071,14.18536639213562,14.432331323623657,14.44797134399414,14.188489437103271,12.271529912948608,11.805251359939575,11.637464046478271,13.477505922317505,14.439927101135254
48,17.688068151474,18.61690902709961,16.623692512512207,12.700806379318237,14.254806280136108,12.317751407623291,14.176895380020142,14.234971284866333,14.182514905929565,14.22423768043518,14.179283380508423,14.209038972854614,12.110431432723999,11.827799320220947,11.5127432346344,13.413734197616577,14.251538753509521
49,18.128262519836426,20.635538339614868,18.56878638267517,13.106204509735107,15.52283000946045,12.652466058731079,15.662081241607666,15.626086473464966,15.510170936584473,15.522404432296753,15.644737482070923,15.519341707229614,12.516841173171997,12.183969259262085,11.69870400428772,14.03258466720581,15.320340871810913
50,18.918251752853394,21.125556230545044,19.125444412231445,14.276260137557983,16.435643434524536,13.867995977401733,15.537986278533936,15.407173871994019,15.496179342269897,15.515542984008789,16.100402116775513,15.548598527908325,13.518973588943481,13.257585763931274,12.334331512451172,15.338862419128418,16.39010500907898
51,18.142533540725708,20.54508948326111,18.592493295669556,13.146241903305054,15.52606749534607,12.668768882751465,15.67565631866455,15.644983053207397,15.513171434402466,15.53135895729065,15.66103720664978,15.524862289428711,12.601411581039429,12.227152824401855,11.73367166519165,13.955509901046753,15.327510118484497
52,18.992353200912476,21.210606575012207,18.08619260787964,13.417905807495117,15.32091236114502,12.742026567459106,15.951667547225952,15.988112449645996,16.00714921951294,15.902746200561523,15.818188667297363,15.807161808013916,13.459984064102173,13.174606084823608,12.019327402114868,14.335874080657959,16.14233708381653
53,17.887417554855347,18.448479413986206,16.953173398971558,12.794078826904297,13.84450888633728,12.384908199310303,13.834149360656738,13.861429691314697,13.864331245422363,13.866041898727417,13.823576211929321,13.893049001693726,12.198918581008911,11.967325687408447,11.568039894104004,13.347432613372803,13.84154200553894
54,18.100019931793213,20.123191595077515,17.604180097579956,13.479711055755615,15.43748950958252,12.857548713684082,15.14382553100586,15.462823152542114,15.345895051956177,15.264313220977783,15.284216403961182,15.3804452419281,13.250355005264282,12.787927150726318,11.908534288406372,14.085577726364136,15.416631698608398
55,18.511630296707153,20.583128452301025,17.974592685699463,13.075153589248657,14.836199522018433,12.683069944381714,15.178011178970337,15.282389640808105,15.39892840385437,15.154381275177002,15.36128282546997,15.358632326126099,12.487560510635376,12.337492942810059,11.692132234573364,14.027511835098267,15.382486820220947
