Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
37,19.72850799560547,27.051385164260864,27.485541343688965,26.94076681137085,42.29234552383423,20.05051898956299,32.48754692077637,26.89415168762207,27.065213441848755,26.867737293243408,32.679306745529175,31.61071538925171,17.318819046020508,22.244123220443726
38,19.947360277175903,27.080864667892456,33.33916640281677,32.114898920059204,38.39871668815613,20.440532445907593,27.600298643112183,28.032310247421265,31.545522689819336,26.952141046524048,28.1667377948761,31.281601667404175,17.508958339691162,23.445343255996704
39,19.983863830566406,31.19212508201599,33.734999895095825,32.79253935813904,44.50794982910156,20.637210607528687,35.85146617889404,35.24431872367859,31.42465376853943,27.235625982284546,35.539987564086914,36.088664293289185,17.472302436828613,25.227444887161255
40,19.711116552352905,33.639108657836914,33.3973593711853,29.383703231811523,40.23675346374512,20.358337879180908,33.58020544052124,34.18262314796448,29.173613786697388,27.084075689315796,34.299535512924194,28.938007593154907,17.531181812286377,23.767338275909424
41,19.70828652381897,28.103292226791382,32.884430170059204,28.095013856887817,41.02281999588013,20.363829374313354,27.9238498210907,27.93635869026184,28.32633900642395,27.17041540145874,28.023475170135498,28.304360389709473,17.668978452682495,23.100841522216797
42,19.442826986312866,26.727656364440918,27.199969053268433,27.19170379638672,39.60648822784424,20.280823469161987,32.02641582489014,26.63758945465088,26.596024751663208,26.673566579818726,32.33197617530823,31.506734132766724,17.32802700996399,22.241901874542236
43,19.6814968585968,30.449177026748657,32.37694025039673,31.525960683822632,37.574174880981445,20.524961471557617,27.180728912353516,27.40245509147644,30.27399516105652,26.575185775756836,30.91805863380432,26.802281856536865,17.72844672203064,22.951805591583252
44,19.846570014953613,27.571722984313965,32.26043105125427,32.01221323013306,37.68881177902222,20.465904712677002,31.94365882873535,27.717893600463867,27.58916187286377,26.97692036628723,32.13517665863037,27.012649536132812,17.728355646133423,22.87966799736023
45,20.34756374359131,30.494794845581055,31.832029342651367,31.38215708732605,42.56092882156372,20.923573970794678,30.07402205467224,29.89129090309143,37.09246301651001,27.73138189315796,30.36482524871826,37.03617978096008,17.602523803710938,25.26658535003662
46,19.76056456565857,27.271040439605713,28.4788179397583,28.38772940635681,38.15312910079956,20.411346673965454,32.36853528022766,33.78396797180176,27.1414737701416,27.030125856399536,33.33478403091431,30.65360164642334,17.552851676940918,23.227869272232056
47,19.481189250946045,28.012141704559326,29.410555601119995,28.81676983833313,39.58946919441223,20.204631567001343,34.4572868347168,34.40139126777649,27.86778473854065,26.7394700050354,34.73695945739746,32.25302338600159,17.29668378829956,23.526320695877075
48,19.4897141456604,28.875965356826782,27.661483764648438,27.319205045700073,42.49065160751343,20.177801609039307,32.86127543449402,33.213794469833374,28.925415992736816,28.295180320739746,33.327717542648315,33.50545310974121,17.355053424835205,22.433560371398926
49,20.307706356048584,26.87265396118164,30.003430366516113,26.043164491653442,39.66726565361023,20.662559032440186,26.617039680480957,27.172967433929443,26.57986092567444,27.798473119735718,26.70333957672119,26.652495622634888,17.95304274559021,22.598151683807373
50,19.438030242919922,27.823818922042847,30.29198145866394,30.448957920074463,51.39585781097412,20.063026428222656,27.401393175125122,27.743642330169678,31.124337911605835,27.793768644332886,27.89068627357483,31.773131608963013,17.388740062713623,22.211472988128662
51,20.09413766860962,28.629782915115356,28.81173086166382,28.5085551738739,39.71407461166382,20.898165464401245,33.47753381729126,33.72278070449829,28.720767498016357,27.222147703170776,33.67925500869751,33.05962371826172,17.64082956314087,23.825666427612305
52,20.319612979888916,31.372458696365356,34.019837617874146,33.02670335769653,46.40394854545593,20.937694311141968,36.04317879676819,31.44902992248535,31.639495372772217,27.354621171951294,35.66155982017517,36.260457038879395,17.47104835510254,25.30720019340515
53,19.390831232070923,27.421634912490845,27.388172388076782,27.384084701538086,39.3750536441803,20.004044771194458,31.994168281555176,27.37017011642456,27.534080028533936,26.82978653907776,32.41579008102417,32.397112131118774,17.248835563659668,22.643123865127563
