Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
25,5.990904331207275,6.208291053771973,6.4225380420684814,6.694321870803833,6.425256729125977,6.864750623703003,6.3308210372924805,6.823715448379517,6.82756495475769,6.855292320251465,6.827183723449707,6.878386497497559,6.852144241333008,6.95278263092041,6.806895971298218,9.92041301727295,9.679536581039429
26,5.023670434951782,5.267274856567383,5.427376985549927,5.519350528717041,5.317537307739258,5.69983983039856,5.174179792404175,5.599253416061401,5.607851505279541,5.635225057601929,5.6235880851745605,5.617635726928711,5.613839149475098,5.760287284851074,5.622253656387329,18.985966205596924,7.911351203918457
27,4.98401141166687,5.246155261993408,5.413668155670166,5.5066447257995605,5.300050735473633,5.703073024749756,5.168996572494507,5.579563856124878,5.5822155475616455,5.611940860748291,5.609067678451538,5.599295377731323,5.610180616378784,5.61944317817688,5.729461669921875,19.22093963623047,7.881565093994141
28,6.015544176101685,6.23266863822937,6.487925291061401,6.747866868972778,6.463207006454468,6.8989222049713135,6.37231707572937,6.863836288452148,6.859633684158325,6.878557443618774,6.866069555282593,6.91201114654541,6.8914313316345215,6.826626777648926,7.000793933868408,10.10442328453064,9.731858253479004
29,4.945638179779053,5.151877403259277,5.309902667999268,5.397578954696655,5.576345205307007,5.695186138153076,5.079473257064819,5.461565256118774,5.464594602584839,5.479428768157959,5.478846311569214,5.667593240737915,5.469488859176636,5.62656307220459,5.478986978530884,20.063159704208374,7.895276069641113
30,5.014984846115112,5.282616376876831,5.388133764266968,5.524522542953491,5.355355501174927,5.654544830322266,5.244971752166748,5.592800140380859,5.59119176864624,5.6254401206970215,5.609526872634888,5.511415719985962,5.477973937988281,5.662208318710327,5.671409606933594,8.093093156814575,7.867639064788818
31,6.019831657409668,6.250584363937378,6.5211780071258545,6.739876985549927,6.5259599685668945,6.867111921310425,6.397461414337158,6.8390891551971436,6.852283477783203,6.833848714828491,6.868304252624512,6.895862817764282,6.869898557662964,6.962382793426514,6.817518711090088,9.92884635925293,9.75098443031311
32,4.976207256317139,5.225484132766724,5.387537956237793,5.473461389541626,5.320117950439453,5.722651720046997,5.126901149749756,5.553583145141602,5.564990282058716,5.596902370452881,5.587143421173096,5.575882911682129,5.577316761016846,5.717764616012573,5.579355716705322,19.398876428604126,7.8989949226379395
33,4.957217693328857,5.1982810497283936,5.3452441692352295,5.423875570297241,5.429541826248169,5.703218936920166,5.095482587814331,5.468583345413208,5.4816248416900635,5.512648105621338,5.5041773319244385,5.565977334976196,5.496211051940918,5.646238803863525,5.508324861526489,19.98918867111206,7.909038305282593
34,4.960317850112915,5.208066940307617,5.344546556472778,5.449039459228516,5.266429901123047,5.6030824184417725,5.110493421554565,5.5230066776275635,5.529178857803345,5.567795991897583,5.555030822753906,5.53991961479187,5.537531137466431,5.6802287101745605,5.554750680923462,19.529183626174927,7.827749252319336
35,4.993030548095703,5.225777864456177,5.383274793624878,5.450588941574097,5.27814507484436,5.556754112243652,5.138198614120483,5.459743499755859,5.47462272644043,5.511304140090942,5.459342956542969,5.463045597076416,5.467615604400635,5.449845552444458,5.5766565799713135,7.533071994781494,7.874645948410034
