Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,EGAL
47,10.292367935180664,10.65268588066101,10.968213081359863,11.104886531829834,11.244359493255615,11.328211307525635,11.305057764053345,11.301414012908936,11.273367166519165,374.02272629737854,16.087833642959595,13.092292547225952,11.499651193618774
48,9.888534307479858,10.380297183990479,10.675212860107422,10.81462049484253,10.922926902770996,10.964592933654785,10.956620931625366,10.925049781799316,12.269873857498169,299.55242347717285,15.25731086730957,10.384299278259277,10.81699538230896
49,10.196889877319336,10.641263961791992,10.964624643325806,11.11496353149414,11.231110334396362,11.316567420959473,11.297290086746216,11.310913801193237,11.331694602966309,371.73494815826416,16.206111192703247,10.385077714920044,11.306530952453613
50,10.239335060119629,10.587001323699951,10.893427610397339,11.014156818389893,11.094964742660522,11.098235607147217,10.940580368041992,10.819833517074585,10.80672550201416,378.8857021331787,15.514132022857666,10.263278722763062,10.880303144454956
51,10.178839683532715,10.529507637023926,10.771654605865479,10.925601959228516,11.025370836257935,11.021280765533447,10.952565431594849,10.995065450668335,10.779990196228027,336.81566858291626,15.570889234542847,10.3245267868042,12.458243608474731
52,10.332672119140625,10.663113594055176,10.977457284927368,11.096921443939209,11.173083066940308,11.173071384429932,11.006006717681885,10.896541833877563,10.876599073410034,380.6046657562256,15.699110746383667,10.365693092346191,10.932547807693481
53,9.928491353988647,10.15718126296997,10.45374608039856,10.622288703918457,11.031468391418457,11.209735631942749,11.248292446136475,11.295886516571045,11.311574697494507,303.435914516449,15.426152229309082,11.29900574684143,11.373709440231323
54,10.190245866775513,10.717348098754883,11.048807621002197,11.19191575050354,11.31351089477539,11.386809349060059,11.375076293945312,11.398338079452515,11.413949012756348,373.07742977142334,16.32009720802307,10.45411491394043,11.377553224563599
55,9.856796264648438,10.122474193572998,10.42509126663208,10.55404782295227,10.65856385231018,10.912541151046753,11.094694375991821,14.176810503005981,11.222964525222778,337.9786500930786,15.409029006958008,10.168977499008179,10.707749128341675
56,10.286822080612183,10.556655406951904,10.878894805908203,11.009933710098267,11.155924797058105,11.137299060821533,11.145764827728271,14.678765773773193,10.88484239578247,334.94673776626587,15.745776891708374,10.396527528762817,10.944639444351196
57,9.667069911956787,10.116453170776367,10.501915454864502,10.635863304138184,10.744157552719116,10.768361330032349,10.778494834899902,10.769425868988037,10.715273141860962,224.64143776893616,15.06184720993042,9.944775819778442,10.416616916656494
58,9.962848901748657,10.433701992034912,10.72061276435852,10.864829063415527,10.974743366241455,11.003499031066895,10.997159242630005,10.975274562835693,12.29469895362854,308.035275220871,15.354653358459473,10.240405559539795,11.031322717666626
59,10.122477293014526,10.456341028213501,10.745951175689697,10.878679513931274,11.175658702850342,10.961826086044312,10.81660509109497,10.69469690322876,10.686208009719849,372.88909792900085,15.378491640090942,10.13152265548706,10.733829975128174
60,10.127381324768066,10.450835466384888,10.753597497940063,10.898656368255615,11.021589756011963,11.028649091720581,11.018104553222656,11.00293517112732,11.252486944198608,334.04011583328247,15.648206949234009,10.289411783218384,11.029084920883179
61,10.364450693130493,10.806308031082153,10.948357582092285,10.985383033752441,10.89988374710083,10.862258911132812,10.863569498062134,10.861476421356201,10.782889604568481,305.05535888671875,15.60213017463684,10.381848335266113,10.908719301223755
62,9.809303760528564,10.068731546401978,10.664073944091797,10.918300867080688,11.014194250106812,11.013509035110474,10.996615648269653,11.010722637176514,10.87401556968689,295.8431222438812,15.183698654174805,10.849093914031982,10.557971000671387
63,10.476032495498657,10.865398645401001,11.212120771408081,11.51418161392212,11.707370042800903,11.62548279762268,11.655799388885498,11.878309965133667,11.815855741500854,181.2759609222412,15.405085563659668,10.167632579803467,10.691527843475342
64,10.008732318878174,10.28098201751709,10.57921028137207,11.250301837921143,11.266863822937012,11.254882097244263,11.314451932907104,11.357191562652588,11.410356760025024,36.93763852119446,16.00053334236145,10.455323696136475,10.884363412857056
65,9.915241479873657,10.180578708648682,10.48278284072876,10.610441446304321,10.714173316955566,10.977102994918823,11.14692735671997,14.055752992630005,11.275914907455444,338.89250588417053,15.482022762298584,10.104146003723145,12.064326286315918
66,10.185750484466553,10.583574056625366,10.866206407546997,11.046549558639526,11.293280363082886,11.247498512268066,11.182656526565552,11.597372055053711,11.255448579788208,172.4340181350708,15.431007862091064,10.179746150970459,10.675602197647095
67,10.190677165985107,10.463850021362305,10.789994478225708,10.936678171157837,11.04037880897522,11.013309717178345,10.97482705116272,14.20401668548584,10.734672546386719,335.2421429157257,15.717379570007324,10.344110488891602,10.898252248764038
68,10.61589241027832,10.911213159561157,11.327118396759033,11.589863777160645,11.596653699874878,11.569493055343628,11.68293285369873,11.544389724731445,11.516211986541748,190.5595633983612,15.671452522277832,10.299508810043335,10.802600622177124
69,10.309797286987305,10.69972562789917,11.007390975952148,11.162501573562622,11.285513162612915,11.370022058486938,11.348109006881714,11.351835012435913,11.331881761550903,371.17972469329834,16.36990213394165,16.528844594955444,11.494936227798462
70,10.008790016174316,10.611583948135376,10.788984775543213,10.82544755935669,10.848017454147339,10.79568886756897,10.790650606155396,10.797244548797607,10.803086280822754,273.1250829696655,15.209652185440063,10.261397361755371,10.865198135375977
71,10.084510803222656,10.409700870513916,10.70338749885559,10.848285675048828,10.965137958526611,10.965848445892334,10.963663101196289,10.90662670135498,10.877512454986572,336.0255346298218,15.604041337966919,10.256591558456421,10.823960781097412
72,10.565363645553589,10.86034369468689,11.267260789871216,11.5255126953125,11.548100233078003,11.518817901611328,11.630635738372803,11.494181394577026,11.480210304260254,189.0842478275299,15.600567102432251,10.252457857131958,10.765035152435303
73,10.203251123428345,10.539510488510132,10.840553045272827,10.965886354446411,11.044413805007935,11.055272102355957,10.906790494918823,10.779102563858032,10.77798843383789,378.75877571105957,15.467279195785522,10.22640872001648,10.878588199615479
74,10.226457118988037,10.629709005355835,10.932088375091553,11.090474605560303,11.350768804550171,11.311851501464844,11.226938962936401,11.573954820632935,11.327955961227417,178.98451256752014,15.52121639251709,10.191883563995361,10.748984336853027
75,9.91472315788269,10.174571990966797,10.47116994857788,10.605984210968018,10.701523542404175,11.01071310043335,11.11011791229248,12.907528638839722,11.265995502471924,338.67433404922485,15.44437551498413,10.200159549713135,12.345223903656006
76,10.381367921829224,10.786611795425415,11.103994846343994,11.256512880325317,11.386261224746704,11.468863725662231,11.451375484466553,11.45114779472351,11.403520345687866,375.9882528781891,16.179794311523438,11.150454759597778,11.489984035491943
77,9.873297214508057,10.133057117462158,10.429928541183472,10.552023649215698,10.667548894882202,10.85822319984436,11.107448816299438,11.008837461471558,11.230921268463135,336.4220173358917,15.512885808944702,10.166430711746216,10.714216947555542
78,10.345913410186768,10.880989074707031,11.043121814727783,11.122753143310547,11.054832458496094,11.018681526184082,11.014675617218018,11.01209807395935,10.923787832260132,305.8545219898224,15.864346742630005,10.498531341552734,11.934544563293457
79,10.13682222366333,10.533004760742188,10.828034162521362,10.986083984375,11.24463939666748,11.211771011352539,11.339486360549927,11.252676010131836,11.237171411514282,157.7787184715271,15.348865509033203,10.16124939918518,10.692960500717163
80,9.78054666519165,10.273305416107178,10.655749559402466,10.826970338821411,10.9127037525177,10.944760799407959,10.914410829544067,10.86873459815979,10.814027786254883,230.39781165122986,15.153934240341187,10.033839225769043,10.602693557739258
81,9.920518636703491,10.183646202087402,10.458473682403564,12.12475848197937,11.1976478099823,11.172056436538696,11.24465298652649,11.27003288269043,11.335352659225464,36.2399206161499,15.999562740325928,10.51137661933899,10.751739978790283
82,10.009454011917114,10.272455215454102,10.574371337890625,10.714369535446167,10.808052062988281,11.152745008468628,11.209460496902466,12.271219491958618,11.382449388504028,338.70257544517517,15.618821144104004,10.31471037864685,11.905237913131714
83,10.36038875579834,10.577975273132324,10.876451015472412,10.991976499557495,11.009209156036377,10.95161247253418,10.883231163024902,11.837690114974976,10.679076671600342,334.3941581249237,15.648306608200073,10.23774766921997,10.78942608833313
84,10.477414608001709,10.916675090789795,11.088194370269775,11.101423978805542,11.024489402770996,11.021919012069702,11.027864694595337,11.016158819198608,10.964028596878052,305.2257344722748,15.911058902740479,10.567238569259644,10.874114990234375
85,10.271565198898315,10.893686771392822,10.972095727920532,11.060282707214355,10.955295085906982,10.850226163864136,10.85068655014038,11.07165241241455,10.843246936798096,296.32941722869873,15.741241216659546,10.359020233154297,11.115801095962524
86,10.253959655761719,10.647145986557007,10.938637018203735,11.119019985198975,11.363632202148438,11.312692642211914,11.251634120941162,11.44529914855957,11.312849283218384,176.01453161239624,15.524938821792603,10.20827579498291,10.741858005523682
87,10.409496068954468,10.750105381011963,11.10061764717102,11.393476247787476,11.46560001373291,11.371571063995361,11.506583213806152,11.430402040481567,11.337141036987305,144.62287259101868,15.260433435440063,10.07863187789917,10.719452142715454
88,10.211464643478394,10.602375268936157,10.88808298110962,11.070269584655762,11.314801931381226,11.268643140792847,11.195250272750854,11.37532663345337,11.273888349533081,175.65745162963867,15.541866779327393,10.191012620925903,10.721043109893799
89,9.745124101638794,10.015869855880737,10.310616731643677,10.897098302841187,11.053410053253174,11.237372636795044,11.094178915023804,11.12919282913208,11.403445959091187,38.922532081604004,15.77051591873169,10.25651478767395,10.578060150146484
90,9.95518946647644,10.630131244659424,10.979935884475708,11.230044841766357,11.249674558639526,11.28294825553894,11.468557834625244,11.73182725906372,11.46082067489624,139.72418427467346,15.431120157241821,10.1511070728302,10.653228044509888
91,10.115008115768433,10.504125356674194,10.802977561950684,10.961146831512451,11.221891403198242,11.18156123161316,11.095330953598022,11.220966815948486,11.210184335708618,154.94508337974548,15.272185564041138,10.165579319000244,10.64675760269165
92,10.503837585449219,10.824288845062256,11.198967933654785,11.48566484451294,11.524255752563477,11.461713314056396,11.58096981048584,11.48264741897583,11.438333511352539,187.81638479232788,15.624544382095337,10.218503475189209,10.748265743255615
93,10.399386167526245,10.88187575340271,10.992965936660767,11.096873998641968,11.008052587509155,10.980892658233643,10.977676153182983,10.98013687133789,10.906352043151855,299.8390724658966,15.707747459411621,10.424463510513306,10.979596138000488
94,10.579389572143555,10.931781530380249,11.28446626663208,11.57605791091919,11.63105297088623,11.557682991027832,11.67177963256836,11.578460693359375,11.520562648773193,167.9098618030548,15.85388970375061,10.540837287902832,10.822030067443848
95,10.437328100204468,10.931365728378296,11.001112461090088,11.116163492202759,11.034830808639526,10.983887672424316,10.981682300567627,10.987245559692383,10.963134050369263,300.8197271823883,15.771965265274048,10.456374406814575,10.988765478134155
96,10.292903423309326,10.653207778930664,10.969192743301392,11.113804578781128,11.248139381408691,11.331569910049438,11.307018518447876,11.312826156616211,11.273321390151978,375.65688848495483,15.940722942352295,11.787370681762695,11.500882148742676
97,10.313525438308716,10.705777645111084,10.975237369537354,11.181988716125488,11.30478024482727,11.349599838256836,11.230469226837158,11.215385675430298,11.305893182754517,280.3684997558594,15.426615238189697,10.170440673828125,10.69656491279602
98,9.990390062332153,10.63530445098877,11.03626561164856,11.026509284973145,11.082533836364746,10.902215480804443,10.997323751449585,10.903686285018921,10.907710552215576,228.1884367465973,15.294960260391235,10.150657892227173,10.646782159805298
99,10.368954420089722,10.563748598098755,10.903993844985962,11.04433560371399,11.166757345199585,11.089117050170898,11.034110069274902,11.842333555221558,10.965315103530884,337.244722366333,15.872780561447144,10.461438417434692,10.943788528442383
