Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
28,17.054428100585938,19.0051589012146,19.473596334457397,23.832059621810913,18.244606733322144,41.98762559890747,17.604739904403687,30.791247844696045,31.116263151168823,30.840636014938354,32.087992906570435,30.573886394500732,31.004642486572266,30.782145738601685,31.782607793807983,37.865084409713745,25.788827419281006
29,15.166487693786621,16.59355139732361,17.03752112388611,19.566089630126953,15.79628038406372,27.24544382095337,15.304071426391602,22.273144245147705,22.406492710113525,22.316056966781616,22.269344091415405,22.191200256347656,22.201954126358032,22.12801718711853,22.08011245727539,27.8697612285614,23.16988730430603
30,14.913743495941162,16.99120807647705,17.705029010772705,19.722968816757202,17.26128125190735,28.61371111869812,15.899416446685791,24.877392768859863,25.029460191726685,24.886615991592407,24.773308753967285,24.626125812530518,24.726104259490967,24.294005393981934,23.58286762237549,30.18083667755127,23.38137412071228
31,14.745522499084473,16.848795413970947,17.362525701522827,20.47397780418396,15.928444623947144,34.56718969345093,15.2915678024292,26.043840646743774,25.834442853927612,25.735315561294556,25.13430881500244,25.39991569519043,25.37260127067566,25.232147932052612,24.976463317871094,32.36840343475342,23.363924264907837
32,15.032853126525879,16.528921842575073,16.935877084732056,19.534318923950195,15.63152265548706,27.250755548477173,15.215763568878174,22.283325910568237,22.356901168823242,22.294954776763916,22.224178314208984,22.14756417274475,22.116718769073486,22.0342276096344,22.047600269317627,27.875399589538574,22.962316274642944
33,14.77391529083252,16.572848796844482,17.058678150177002,18.842029094696045,16.114637851715088,25.948538064956665,15.473613500595093,21.02194571495056,21.047086477279663,21.038892030715942,21.023497343063354,20.972965478897095,20.959356784820557,20.993294954299927,20.79076886177063,26.986322164535522,23.2451069355011
34,14.810028076171875,16.79279851913452,17.31401491165161,20.500479698181152,15.91077208518982,34.68839716911316,15.360895156860352,26.085641622543335,25.915789127349854,25.769259929656982,25.175809383392334,25.44929003715515,25.415748357772827,25.288297176361084,25.005624055862427,32.31365442276001,23.271018981933594
35,17.000613927841187,18.90670680999756,19.348930597305298,23.762433767318726,17.861382722854614,42.36681771278381,17.511497259140015,30.761186838150024,31.04127526283264,30.809120416641235,31.981680870056152,30.448968172073364,30.888280153274536,30.670202016830444,31.641108512878418,37.87252974510193,25.77570104598999
36,16.8770010471344,18.10850167274475,18.830695152282715,21.77984356880188,16.467496156692505,39.35794496536255,18.82170295715332,31.829935550689697,31.726740837097168,31.210067749023438,31.210221529006958,30.710335731506348,30.19753623008728,30.480770587921143,29.883803606033325,38.61910009384155,29.254859685897827
37,14.802420377731323,17.81534194946289,18.92027497291565,21.9335720539093,16.98617434501648,28.886764526367188,16.963490962982178,23.047794818878174,23.22071123123169,23.402140617370605,24.20803737640381,24.169604539871216,23.172472715377808,22.36469340324402,24.393065214157104,33.264102935791016,28.23668622970581
38,16.905012130737305,17.516226530075073,18.125234842300415,19.731796979904175,16.18875551223755,30.357556104660034,18.81738519668579,26.547391176223755,26.465813636779785,26.54923677444458,26.426822423934937,26.395089149475098,26.204547882080078,25.959855794906616,25.51950168609619,33.40303611755371,27.873369455337524
39,14.815619468688965,16.900614261627197,17.370922088623047,20.55767297744751,15.855604887008667,32.767839670181274,15.341532707214355,25.744237184524536,25.50682258605957,25.535805702209473,25.133086681365967,25.341586112976074,24.808995008468628,25.024592399597168,24.475796222686768,31.55277109146118,23.364546060562134
40,14.671111583709717,16.645729064941406,17.122687101364136,20.403664112091064,15.628312826156616,34.89560103416443,15.199827909469604,25.963764905929565,25.769323110580444,25.58964228630066,25.01986050605774,25.19185709953308,25.177538871765137,24.972427129745483,24.73544406890869,32.22704553604126,23.039105653762817
41,17.014942169189453,18.164560079574585,18.91547131538391,21.771576404571533,16.70705270767212,39.27608036994934,18.98382878303528,31.885122776031494,31.743438482284546,31.256659269332886,31.322043657302856,30.833493947982788,30.267241716384888,30.64243173599243,29.96665096282959,38.64076519012451,29.37813091278076
42,14.742478847503662,17.67152190208435,18.728485822677612,21.749311447143555,16.79503846168518,28.355868339538574,16.794110536575317,22.98723554611206,23.00487732887268,23.3037109375,24.134841680526733,24.18126153945923,23.092159748077393,22.506006002426147,24.267810344696045,33.38830590248108,27.995239734649658
43,17.133931636810303,18.868788242340088,19.341991424560547,23.09396529197693,18.13578963279724,39.34205436706543,17.92003297805786,29.61240839958191,29.933741331100464,29.6579806804657,30.92629098892212,29.65528655052185,29.759028911590576,29.708376169204712,30.14282250404358,37.07056760787964,26.47663140296936
44,17.074947834014893,18.89467430114746,19.37412428855896,23.060956716537476,18.103256225585938,39.23828434944153,17.823973655700684,29.574943780899048,29.915951251983643,29.610425233840942,30.857853412628174,29.705130100250244,29.748222827911377,29.67157554626465,30.073014974594116,37.002734899520874,26.325607299804688
45,14.906867504119873,16.68705105781555,17.50268578529358,19.078133821487427,17.474664211273193,27.607855796813965,16.77410578727722,23.905658960342407,24.078004121780396,24.409415245056152,24.363819122314453,24.493537425994873,24.40160346031189,24.28611922264099,22.81080198287964,28.447454929351807,23.156758069992065
46,14.807355403900146,16.64430522918701,17.239320993423462,19.297303915023804,16.362074851989746,28.181320190429688,16.515487909317017,21.577955961227417,24.08680820465088,24.424630403518677,24.720356464385986,24.749468326568604,24.863670825958252,24.89992332458496,24.70324969291687,30.251063585281372,24.698265075683594
47,15.056292057037354,16.51224112510681,16.95987033843994,19.49357295036316,15.61424708366394,27.273332118988037,15.223363637924194,22.25931477546692,22.34442400932312,22.279021739959717,22.194140911102295,22.142834901809692,22.097612619400024,22.00104522705078,22.018404245376587,27.88126039505005,23.057032346725464
48,17.24057364463806,18.44641375541687,19.149109363555908,21.91306734085083,18.026962518692017,38.704819679260254,19.391113996505737,31.92115831375122,31.85159921646118,31.188642740249634,31.39164161682129,30.80462884902954,30.290969133377075,30.54380965232849,29.972674131393433,38.54235863685608,29.77436852455139
49,15.024298906326294,17.035135746002197,17.548333883285522,20.626065731048584,16.609070539474487,31.076948881149292,15.525079488754272,25.81956696510315,25.599242210388184,25.62153935432434,25.232025861740112,25.403847217559814,24.889631032943726,25.124488353729248,24.596710920333862,31.609840631484985,23.599910974502563
50,14.63312816619873,16.61794877052307,17.12168836593628,20.392748594284058,15.601224422454834,34.93524718284607,15.170616626739502,25.914117574691772,25.71288561820984,25.53642988204956,24.970062017440796,25.124409198760986,25.078988075256348,24.878331661224365,24.708481073379517,32.31787061691284,23.151249647140503
51,14.767028331756592,16.68238878250122,17.199790716171265,20.473801136016846,15.671133518218994,34.812188386917114,15.252526998519897,26.034733295440674,25.83391046524048,25.732458114624023,25.099912643432617,25.398028135299683,25.384169578552246,25.13252282142639,24.890583753585815,32.324177980422974,23.174561023712158
52,14.76130223274231,16.764715671539307,17.41247248649597,19.453917503356934,16.50173330307007,30.384686708450317,15.577833890914917,24.437090158462524,24.536909818649292,24.409303903579712,24.248916149139404,24.069523334503174,24.216115474700928,23.767724752426147,23.177689790725708,30.080565929412842,23.17544436454773
53,14.947319269180298,17.026591300964355,17.622257947921753,20.308884859085083,16.740878105163574,32.01413702964783,15.885864496231079,25.23993182182312,25.5421781539917,25.503180265426636,25.446836233139038,25.21133780479431,25.34945797920227,24.978816032409668,24.468140125274658,29.176032304763794,23.441091299057007
54,14.787649631500244,16.768864154815674,17.288956880569458,20.107029914855957,16.00315022468567,32.346553325653076,15.55919337272644,25.434484720230103,25.65213942527771,25.66056799888611,25.53093910217285,25.298235416412354,25.408798456192017,25.06959295272827,24.531868934631348,29.24368405342102,23.216142177581787
55,14.679704904556274,16.67672872543335,17.206202507019043,19.99822688102722,15.915136575698853,32.44156861305237,15.429340839385986,25.393811464309692,25.66216731071472,25.57476043701172,25.520161628723145,25.244445085525513,25.323373079299927,24.95887541770935,24.473712921142578,29.13747763633728,23.008926391601562
56,17.04798674583435,18.874021530151367,19.324575901031494,23.534862756729126,17.987311840057373,40.01305651664734,17.74385404586792,30.43366026878357,30.744513988494873,30.168858528137207,31.486876249313354,30.090745449066162,30.530535459518433,29.87437391281128,31.13917589187622,37.60474181175232,26.28428840637207
57,14.778249025344849,16.2296359539032,16.696476459503174,18.411275625228882,15.531779289245605,25.508100748062134,15.182252883911133,19.92393445968628,19.93310284614563,20.015586614608765,19.909911155700684,19.9653902053833,19.98701047897339,19.962310314178467,19.951775789260864,25.846510410308838,22.964221239089966
58,14.795476913452148,16.540981769561768,17.0040545463562,18.767355918884277,15.96297836303711,25.9536771774292,15.393755435943604,20.970582008361816,21.019471168518066,21.020498514175415,20.980865240097046,20.88737654685974,20.93411898612976,20.96626853942871,20.772437572479248,26.93904423713684,23.173754453659058
59,17.116211891174316,19.00405192375183,19.51123332977295,23.329376459121704,18.425801277160645,37.543434381484985,17.92112970352173,29.68566107749939,30.02019500732422,29.774301052093506,31.001280307769775,29.8632230758667,29.892199277877808,29.827399969100952,30.236282110214233,37.248998403549194,26.489490747451782
60,16.93618869781494,18.1203191280365,18.880229949951172,21.811711311340332,16.61578369140625,39.27661180496216,18.94188904762268,31.93742609024048,31.795734882354736,31.272130489349365,31.35221838951111,30.851562976837158,30.228267669677734,30.627217531204224,30.050007581710815,38.56631875038147,29.311744213104248
61,15.035946607589722,16.480552434921265,16.899959802627563,19.53747582435608,15.542016506195068,25.958913326263428,15.188717365264893,22.08868670463562,22.13088822364807,22.11434555053711,22.1039776802063,22.01847219467163,21.96484613418579,21.88348126411438,21.876339197158813,28.04994511604309,23.001168966293335
62,14.679616212844849,16.419870853424072,17.025402069091797,18.86389398574829,16.62769913673401,27.222914695739746,20.905372381210327,20.24125337600708,24.493308544158936,24.9798641204834,25.031764030456543,24.82909369468689,24.568280696868896,24.71050238609314,24.45499324798584,31.523361682891846,26.275789737701416
63,14.823861122131348,16.78756332397461,17.331522226333618,19.702818632125854,16.072960376739502,28.954211711883545,15.69906210899353,23.236318349838257,23.8875732421875,23.763404607772827,23.98343586921692,23.916932821273804,23.73106098175049,23.635345697402954,23.597480297088623,30.122344732284546,23.69061517715454
64,14.764110803604126,16.659102201461792,17.26159906387329,19.568013906478882,15.952880382537842,30.762428283691406,15.557040452957153,23.247169017791748,24.401299238204956,24.33455729484558,24.24190092086792,24.08418583869934,24.26442861557007,23.947413206100464,23.47808289527893,30.620008945465088,24.076531171798706
65,17.024132013320923,18.89093017578125,19.360729455947876,23.744431495666504,17.901452779769897,42.36426496505737,17.528811931610107,30.777706146240234,31.085493803024292,30.866238117218018,32.08883261680603,30.54801654815674,31.00123882293701,30.78913378715515,31.76565432548523,37.7905957698822,25.610584259033203
66,14.751780271530151,16.58580231666565,17.1961772441864,19.23511290550232,16.188196659088135,26.185158491134644,16.364461183547974,21.444461584091187,24.135602235794067,24.43791913986206,24.78831434249878,24.742628574371338,24.901307106018066,24.910129070281982,24.749598741531372,30.157879114151,24.59470796585083
