Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
22,6.474472999572754,6.396533727645874,4.508756637573242,4.4466392993927,4.498887062072754,4.3381335735321045,4.495921611785889,4.502938270568848,4.499314546585083,4.527757167816162,4.493459224700928,4.623064994812012,4.394287347793579,4.287231922149658,4.176173448562622,4.503622055053711,4.4972569942474365
23,7.529413223266602,7.434684991836548,5.238312005996704,5.282482147216797,5.114096164703369,5.03430962562561,5.312862157821655,5.165966033935547,5.203404188156128,5.228650093078613,5.269232511520386,5.3620285987854,5.199127435684204,4.873518228530884,4.853416204452515,5.328743934631348,5.182591915130615
24,7.536821365356445,7.557379722595215,5.249432802200317,5.275918483734131,5.122814893722534,5.041455030441284,5.313326835632324,5.14862060546875,5.172981262207031,5.22130012512207,5.267112731933594,5.219145059585571,5.207055568695068,4.8759849071502686,4.827065944671631,5.33476996421814,5.17105507850647
25,6.652575731277466,6.9029881954193115,4.6588661670684814,4.602529525756836,4.605198621749878,4.450155258178711,4.629580497741699,4.629110097885132,4.629424333572388,4.634041786193848,4.59917688369751,4.6676025390625,4.531651973724365,4.379362344741821,4.280658006668091,4.634626150131226,4.608813524246216
26,6.476334810256958,7.078081130981445,4.546536684036255,4.484817028045654,4.521509408950806,4.346642017364502,4.5311665534973145,4.519336938858032,4.518974304199219,4.524083614349365,4.528466701507568,4.629404783248901,4.414419651031494,4.305880784988403,4.208540916442871,4.521260738372803,4.510995864868164
27,7.407496452331543,7.485736846923828,5.38994574546814,5.253748416900635,5.3583762645721436,5.106909275054932,5.311475992202759,5.322701454162598,5.260067939758301,5.325756788253784,5.317961692810059,5.376328706741333,5.195282220840454,5.032493829727173,5.00598931312561,5.336402654647827,5.357068777084351
28,6.48291015625,6.498565196990967,4.522300958633423,4.461758375167847,4.505219221115112,4.324342250823975,4.513808012008667,4.510730266571045,4.507999897003174,4.51708197593689,4.512526273727417,4.51311731338501,4.384865999221802,4.293640375137329,4.20024299621582,4.499088764190674,4.505478620529175
29,6.474670886993408,7.351191520690918,4.5420520305633545,4.507583379745483,4.495913028717041,4.331251382827759,4.499353647232056,4.508702754974365,4.50549054145813,4.501537799835205,4.498583555221558,4.615702390670776,4.405842542648315,4.299777269363403,4.190533399581909,4.51824164390564,4.501084566116333
30,12.361659526824951,12.250377655029297,8.96838903427124,8.78420090675354,9.151561737060547,8.48977017402649,9.148844003677368,8.926225185394287,8.802200078964233,8.934423923492432,9.05854082107544,9.099326848983765,8.694759607315063,8.693883419036865,8.106268405914307,8.894953966140747,9.110534429550171
31,7.657421112060547,7.6015989780426025,5.290924310684204,5.335418939590454,5.15265965461731,5.08633279800415,5.382521390914917,5.218208074569702,5.240569114685059,5.242498397827148,5.308557033538818,5.419373989105225,5.250782012939453,4.919133901596069,4.88928747177124,5.3769402503967285,5.253959655761719
