Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
26,2.598344087600708,2.542771577835083,2.651047945022583,2.6684155464172363,2.8131377696990967,2.695384979248047,2.7382023334503174,2.7462351322174072,2.710634708404541,2.708876371383667,2.6975247859954834,2.677781105041504,1042.010273218155
27,2.689610481262207,2.624379873275757,2.801255464553833,2.700739860534668,2.7021400928497314,2.6902687549591064,2.7010338306427,2.700700044631958,2.6826295852661133,2.671964645385742,2.640929698944092,2.6204254627227783,991.7600517272949
28,2.683804750442505,2.604386329650879,2.7118115425109863,2.7276759147644043,2.738278865814209,2.7322893142700195,2.734981060028076,2.7210609912872314,2.7177326679229736,2.721231460571289,2.6676714420318604,2.8608083724975586,989.3500771522522
29,2.639930486679077,2.6009035110473633,2.689035415649414,2.719503879547119,2.7124688625335693,2.6739957332611084,2.6701712608337402,2.661698818206787,2.6445393562316895,2.6121954917907715,2.5995264053344727,2.579881191253662,1043.4620373249054
30,2.5778300762176514,2.5332279205322266,2.6353869438171387,2.6435601711273193,2.6775949001312256,2.7001700401306152,2.733926296234131,2.7095165252685547,2.6743392944335938,2.6739273071289062,2.6571455001831055,2.6287834644317627,1045.1934835910797
31,2.56299090385437,2.523491859436035,2.624706506729126,2.646202564239502,2.650071859359741,3.498044729232788,2.638155221939087,2.6303036212921143,2.6268112659454346,2.611476182937622,2.6001110076904297,2.58782958984375,990.6320168972015
32,2.652400493621826,2.6116082668304443,2.7046072483062744,2.704674482345581,2.7142856121063232,2.714144468307495,2.7159855365753174,2.7138001918792725,2.6964805126190186,2.6676292419433594,2.6198437213897705,2.603843927383423,991.3280210494995
33,2.551248788833618,2.4926891326904297,2.5865061283111572,2.609607696533203,2.6316683292388916,2.6595959663391113,2.6602096557617188,3.596667766571045,2.648592233657837,2.641484022140503,2.6325154304504395,2.6298866271972656,988.6102466583252
34,2.645169973373413,2.866629123687744,2.696012020111084,2.796196460723877,2.7286252975463867,2.706113338470459,2.685535192489624,2.672316789627075,2.6600699424743652,2.6319966316223145,2.6059911251068115,2.5895602703094482,1043.6948256492615
35,2.6326401233673096,2.587844133377075,2.6774332523345947,2.694908618927002,2.683497190475464,2.729322910308838,2.7114152908325195,2.6998565196990967,2.688260555267334,2.666273832321167,2.650052785873413,2.639646291732788,993.0133962631226
36,2.5740742683410645,2.5067195892333984,2.5894293785095215,2.6079633235931396,2.653313636779785,2.667344808578491,2.698699474334717,2.70182466506958,2.672441244125366,2.687605619430542,2.6783695220947266,2.670396566390991,958.8075501918793
37,2.6123573780059814,2.5796053409576416,2.673149585723877,2.7003631591796875,2.703531503677368,3.05087947845459,2.6938304901123047,2.687917947769165,2.6754326820373535,2.6664531230926514,2.6570096015930176,2.642226457595825,989.2367556095123
38,2.5769829750061035,2.522331714630127,2.6312856674194336,2.640127182006836,3.592073440551758,2.6353063583374023,2.6203560829162598,2.614908456802368,2.601600408554077,2.5849356651306152,2.5786375999450684,2.559823751449585,990.4766328334808
39,2.6246352195739746,2.569854736328125,3.0472145080566406,2.684405565261841,2.7153570652008057,2.723008155822754,2.693321466445923,2.682985544204712,2.6771607398986816,2.6592917442321777,2.624321699142456,2.6022799015045166,1039.2183134555817
40,2.793329954147339,2.7071728706359863,2.588369607925415,2.5743696689605713,2.585747718811035,2.5815773010253906,2.5834503173828125,2.5837595462799072,2.586280345916748,2.5841877460479736,2.586775779724121,2.5794615745544434,1068.7224555015564
41,2.6114583015441895,2.5640788078308105,2.6684954166412354,2.6899571418762207,2.7030439376831055,2.7083191871643066,2.7389705181121826,2.7699997425079346,2.770193099975586,2.794492244720459,2.776517391204834,2.7401938438415527,1036.2728972434998
42,2.69463849067688,2.612813711166382,3.3580944538116455,2.6951067447662354,2.6836025714874268,2.6700360774993896,2.65799880027771,2.648472309112549,2.644503355026245,2.6275601387023926,2.6100308895111084,2.603710412979126,990.1050627231598
43,2.7912487983703613,2.647503614425659,2.726656675338745,2.739276885986328,2.742699384689331,2.742807388305664,2.745603084564209,2.7323555946350098,2.721605062484741,2.7110443115234375,2.6938278675079346,2.6477444171905518,1042.0362014770508
44,2.5816490650177,2.5894131660461426,2.6453590393066406,2.6659770011901855,2.662482261657715,3.461319923400879,2.6516189575195312,2.644617795944214,2.6383743286132812,2.639404058456421,2.617408037185669,2.598832607269287,991.8087604045868
45,2.70963191986084,2.633370876312256,2.708062171936035,2.721202850341797,2.725435256958008,2.720309019088745,2.727839946746826,2.705942392349243,2.698646306991577,2.6844022274017334,2.6555445194244385,2.612600088119507,1041.25674366951
46,2.607131004333496,2.545145034790039,2.631046772003174,2.6493594646453857,2.6844780445098877,2.7043726444244385,2.977903366088867,2.723907232284546,2.7692344188690186,2.774048328399658,2.7311151027679443,2.7150325775146484,1004.096747636795
47,2.602261543273926,2.5439505577087402,2.671780586242676,2.7105515003204346,2.72898006439209,2.7192392349243164,2.7233736515045166,2.7240660190582275,2.731318473815918,2.728910207748413,2.700151205062866,2.670034170150757,994.5512609481812
48,2.7355034351348877,2.602146625518799,2.656482458114624,2.7970004081726074,2.6824276447296143,2.672927141189575,2.6562933921813965,2.6530206203460693,2.6397430896759033,2.639622211456299,2.6109957695007324,2.597313404083252,991.0668036937714
49,2.5642614364624023,2.5376107692718506,2.5980281829833984,2.5844061374664307,2.696359634399414,2.606844902038574,2.607304573059082,2.609074831008911,2.5937564373016357,2.605212926864624,2.596303701400757,2.592783212661743,1053.0390889644623
50,2.7078630924224854,2.665764808654785,2.7542192935943604,2.7525694370269775,2.767129898071289,2.7696750164031982,2.775135040283203,2.771918296813965,2.73986554145813,2.7053723335266113,2.672358989715576,2.6506564617156982,989.9443037509918
51,2.6141176223754883,2.561429500579834,2.663499593734741,2.7256503105163574,2.7500131130218506,2.7456464767456055,2.7495510578155518,2.745661973953247,2.7539174556732178,2.7522947788238525,2.7434489727020264,2.7097535133361816,996.2019264698029
52,2.7392990589141846,2.6148853302001953,2.778136968612671,2.7569100856781006,2.70314359664917,2.682617664337158,2.6776695251464844,2.6625499725341797,2.6446034908294678,2.627089500427246,2.611555814743042,2.756878137588501,991.8525602817535
53,2.6622281074523926,2.5747580528259277,3.1352221965789795,2.664721727371216,2.652894973754883,2.636608362197876,2.6375248432159424,2.6176533699035645,2.610417604446411,2.601701259613037,2.5800602436065674,2.5713443756103516,990.7500696182251
54,2.606243848800659,2.519533157348633,2.5968680381774902,2.596967935562134,2.611599922180176,2.6290457248687744,2.650954246520996,2.665924310684204,2.8856289386749268,2.693898916244507,2.7217540740966797,2.733766555786133,918.5171339511871
55,2.586237907409668,2.528697967529297,2.606471300125122,2.633945941925049,2.6975173950195312,2.7568066120147705,2.7340784072875977,2.7696690559387207,2.773113250732422,2.7758374214172363,2.7697856426239014,2.769045352935791,992.1111128330231
56,2.6794188022613525,2.6422414779663086,2.72670841217041,2.695695400238037,2.697582960128784,2.6915535926818848,2.671396493911743,2.651691198348999,2.6284737586975098,2.612471580505371,2.6108744144439697,2.6019930839538574,1044.4703679084778
57,2.687866449356079,2.611220598220825,2.6565134525299072,2.664416551589966,2.654906749725342,2.6317803859710693,2.617933511734009,2.5903208255767822,2.573826789855957,2.5653927326202393,2.5638740062713623,2.557504892349243,1040.5171682834625
58,2.600825548171997,2.6140270233154297,3.4804306030273438,2.6133053302764893,2.6357455253601074,2.624152660369873,2.630192995071411,2.657088041305542,2.6897363662719727,2.7126822471618652,2.717479705810547,2.781874895095825,912.3672738075256
59,2.5986056327819824,2.5470118522644043,2.6446967124938965,2.6597511768341064,2.674070119857788,2.692474126815796,2.7231028079986572,2.718069076538086,2.6879355907440186,2.6838696002960205,2.670741081237793,2.642909288406372,1045.3460931777954
60,2.6332664489746094,2.6961886882781982,2.7097582817077637,2.7175798416137695,2.720759630203247,2.7343108654022217,2.724843978881836,2.7282845973968506,2.7211012840270996,2.7094433307647705,2.6946961879730225,2.681027412414551,1044.9324848651886
61,2.6366772651672363,2.6239407062530518,2.7081637382507324,2.707878351211548,2.7188072204589844,2.7166528701782227,2.718143939971924,2.716503381729126,2.7159039974212646,2.697225332260132,2.6856157779693604,2.6716649532318115,1044.3229308128357
62,2.6600935459136963,2.6251256465911865,2.71612286567688,2.718970537185669,2.730417013168335,2.723416805267334,2.7294065952301025,2.742664098739624,2.7295069694519043,2.7037911415100098,2.692218542098999,2.674593925476074,1044.6207184791565
63,2.5712759494781494,2.508382558822632,3.0727128982543945,2.6292824745178223,2.830299139022827,2.705000638961792,2.705394744873047,2.712287187576294,2.706892728805542,2.711015224456787,2.7130753993988037,2.7027575969696045,1045.526538848877
64,2.579707622528076,2.5305404663085938,2.66854190826416,2.7330610752105713,3.8186986446380615,2.755352258682251,2.7505404949188232,2.7535645961761475,2.751605987548828,2.743509531021118,2.7329156398773193,2.735285758972168,994.1422986984253
65,2.5919077396392822,2.5668892860412598,2.6447722911834717,2.655729055404663,2.683394432067871,2.6860225200653076,2.72385835647583,2.7260372638702393,2.698742151260376,2.694286346435547,2.6843819618225098,2.662489414215088,1042.7359817028046
66,2.589444160461426,2.5500316619873047,2.655759572982788,2.6802074909210205,2.7037689685821533,2.6859357357025146,3.1909472942352295,2.678595781326294,2.6804232597351074,2.665069818496704,2.658388137817383,2.6522014141082764,990.2624366283417
67,2.6245079040527344,2.6099605560302734,2.735839605331421,3.5542945861816406,2.7701432704925537,2.756497859954834,2.7648184299468994,2.7596700191497803,2.7525315284729004,2.7495522499084473,2.7421600818634033,2.6987054347991943,992.7336905002594
68,2.5979058742523193,2.5432486534118652,2.632258415222168,2.6416592597961426,2.678954601287842,2.707496166229248,2.6995279788970947,2.665376663208008,2.670771360397339,2.6547443866729736,2.6312692165374756,2.6005120277404785,1041.4039599895477
69,2.663822889328003,2.599903106689453,2.678959846496582,2.6650593280792236,2.6811482906341553,2.673314332962036,2.663499355316162,2.671253204345703,2.661557197570801,2.6467607021331787,2.6260128021240234,2.610020875930786,994.1412162780762
70,2.683561325073242,2.625185251235962,2.701218843460083,2.712085485458374,2.7192299365997314,2.7191596031188965,2.717512369155884,2.7125661373138428,2.7010674476623535,2.687190294265747,2.671549081802368,2.6203110218048096,1042.7393462657928
71,2.6908438205718994,2.646073341369629,2.735825777053833,2.7342042922973633,2.7441279888153076,2.7475404739379883,2.7507870197296143,2.86624813079834,2.7175214290618896,2.682394027709961,2.6453750133514404,2.632554292678833,991.3433847427368
