Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49
1099,[229.0],[377.0],[738.0],[963.0],[10.0],[713.0],[933.0],[480.0],[604.0],[1412.0],[640.0],[1497.0],[838.0],[286.0],[853.0],[981.0],[1378.0],[483.0],[150.0],[98.0],[319.0],[1488.0],[1489.0],[20.0],[382.0],[585.0],[382.0],[697.0],[94.0],[950.0],[106.0],[400.0],[408.0],[640.0],[1275.0],[1434.0],[657.0],[415.0],[693.0],[1389.0],[237.0],[81.0],[638.0],[1473.0],[909.0],[1174.0],[962.0],[1065.0],[1276.0],[1443.0]
1100,[1363.0],[1320.0],[936.0],[640.0],[1249.0],[1263.0],[612.0],[666.0],[1229.0],[189.0],[203.0],[1490.0],[370.0],[461.0],[1170.0],[808.0],[1403.0],[229.0],[406.0],[699.0],[362.0],[655.0],[537.0],[962.0],[40.0],[1430.0],[78.0],[713.0],[962.0],[490.0],[1443.0],[105.0],[480.0],[857.0],[215.0],[1257.0],[981.0],[1207.0],[831.0],[260.0],[192.0],[293.0],[926.0],[1297.0],[999.0],[594.0],[1259.0],[1103.0],[94.0],[886.0]
1101,[1490.0],[626.0],[1314.0],[114.0],[494.0],[1314.0],[177.0],[1219.0],[484.0],[1237.0],[1076.0],[1086.0],[406.0],[829.0],[831.0],[1339.0],[1172.0],[349.0],[356.0],[863.0],[229.0],[637.0],[878.0],[1362.0],[1363.0],[1276.0],[494.0],[693.0],[309.0],[871.0],[1253.0],[829.0],[577.0],[947.0],[901.0],[1201.0],[1179.0],[724.0],[640.0],[238.0],[1282.0],[1211.0],[151.0],[857.0],[146.0],[256.0],[1205.0],[485.0],[456.0],[1365.0]
1102,[1362.0],[1443.0],[39.0],[406.0],[229.0],[189.0],[1159.0],[612.0],[99.0],[1291.0],[1276.0],[494.0],[463.0],[482.0],[935.0],[828.0],[483.0],[1015.0],[785.0],[874.0],[1354.0],[711.0],[935.0],[695.0],[457.0],[925.0],[1320.0],[1418.0],[1141.0],[1207.0],[674.0],[1455.0],[453.0],[1043.0],[298.0],[21.0],[1384.0],[1320.0],[573.0],[553.0],[391.0],[749.0],[752.0],[1247.0],[639.0],[162.0],[666.0],[549.0],[268.0],[480.0]
1103,[808.0],[946.0],[882.0],[1043.0],[1170.0],[1363.0],[752.0],[988.0],[913.0],[1276.0],[1253.0],[158.0],[861.0],[1320.0],[1418.0],[538.0],[805.0],[1059.0],[1365.0],[1138.0],[1405.0],[772.0],[329.0],[567.0],[799.0],[482.0],[192.0],[1065.0],[666.0],[1263.0],[189.0],[1008.0],[286.0],[346.0],[1369.0],[635.0],[1454.0],[999.0],[1211.0],[557.0],[1356.0],[360.0],[911.0],[1275.0],[1418.0],[197.0],[20.0],[39.0],[1242.0],[24.0]
1104,[158.0],[1341.0],[1354.0],[584.0],[580.0],[831.0],[365.0],[935.0],[8.0],[794.0],[577.0],[510.0],[1378.0],[962.0],[1314.0],[290.0],[114.0],[1043.0],[515.0],[306.0],[557.0],[1201.0],[992.0],[605.0],[640.0],[155.0],[521.0],[637.0],[871.0],[1390.0],[812.0],[640.0],[350.0],[423.0],[1141.0],[1047.0],[1405.0],[1374.0],[1022.0],[174.0],[255.0],[1259.0],[1091.0],[47.0],[391.0],[191.0],[1184.0],[1341.0],[945.0],[693.0]
1105,[298.0],[382.0],[1393.0],[1378.0],[969.0],[573.0],[229.0],[939.0],[1033.0],[1065.0],[155.0],[996.0],[786.0],[1389.0],[992.0],[1065.0],[268.0],[350.0],[544.0],[312.0],[921.0],[360.0],[400.0],[415.0],[525.0],[61.0],[1374.0],[829.0],[1242.0],[1268.0],[259.0],[395.0],[1497.0],[349.0],[1362.0],[345.0],[138.0],[537.0],[408.0],[865.0],[151.0],[1043.0],[483.0],[1300.0],[739.0],[928.0],[1115.0],[70.0],[155.0],[637.0]
1106,[426.0],[997.0],[1264.0],[349.0],[664.0],[738.0],[483.0],[1320.0],[1320.0],[155.0],[812.0],[426.0],[605.0],[564.0],[829.0],[788.0],[1118.0],[1031.0],[883.0],[718.0],[1059.0],[294.0],[762.0],[638.0],[857.0],[309.0],[734.0],[911.0],[988.0],[1430.0],[1276.0],[319.0],[1418.0],[286.0],[54.0],[861.0],[1205.0],[106.0],[808.0],[345.0],[1144.0],[1363.0],[229.0],[1462.0],[829.0],[1172.0],[1191.0],[30.0],[981.0],[748.0]
1107,[713.0],[639.0],[831.0],[161.0],[1497.0],[1211.0],[461.0],[992.0],[541.0],[371.0],[746.0],[277.0],[268.0],[587.0],[903.0],[1454.0],[584.0],[1245.0],[1376.0],[229.0],[1297.0],[1047.0],[1291.0],[298.0],[738.0],[365.0],[99.0],[1351.0],[426.0],[1412.0],[1412.0],[1377.0],[105.0],[192.0],[1227.0],[585.0],[1303.0],[762.0],[39.0],[225.0],[863.0],[1191.0],[1017.0],[415.0],[39.0],[806.0],[562.0],[740.0],[845.0],[1246.0]
1108,[1172.0],[925.0],[1015.0],[485.0],[640.0],[1193.0],[557.0],[1047.0],[132.0],[638.0],[752.0],[1018.0],[635.0],[861.0],[1068.0],[1205.0],[229.0],[391.0],[1280.0],[1201.0],[150.0],[177.0],[61.0],[626.0],[480.0],[829.0],[480.0],[1314.0],[60.0],[1443.0],[1482.0],[485.0],[748.0],[839.0],[1154.0],[930.0],[521.0],[1378.0],[453.0],[93.0],[1341.0],[785.0],[1059.0],[100.0],[1043.0],[413.0],[988.0],[325.0],[382.0],[483.0]
1109,[414.0],[93.0],[470.0],[838.0],[1398.0],[179.0],[1059.0],[1374.0],[204.0],[693.0],[1144.0],[1412.0],[573.0],[1287.0],[793.0],[626.0],[224.0],[1125.0],[1246.0],[812.0],[483.0],[237.0],[1397.0],[1092.0],[615.0],[871.0],[1356.0],[1191.0],[327.0],[482.0],[155.0],[861.0],[829.0],[303.0],[1490.0],[426.0],[1435.0],[674.0],[426.0],[1045.0],[485.0],[310.0],[1118.0],[1248.0],[1314.0],[414.0],[863.0],[1092.0],[1205.0],[1059.0]
1110,[1403.0],[23.0],[210.0],[232.0],[605.0],[1259.0],[346.0],[640.0],[950.0],[936.0],[229.0],[20.0],[189.0],[1161.0],[1211.0],[1435.0],[1363.0],[886.0],[874.0],[39.0],[1363.0],[225.0],[901.0],[349.0],[39.0],[693.0],[1237.0],[1115.0],[925.0],[638.0],[638.0],[1314.0],[1352.0],[1356.0],[569.0],[237.0],[1025.0],[659.0],[786.0],[740.0],[260.0],[808.0],[1292.0],[1489.0],[863.0],[853.0],[1455.0],[1497.0],[573.0],[146.0]
1111,[857.0],[838.0],[1365.0],[268.0],[828.0],[1430.0],[1363.0],[237.0],[1481.0],[1260.0],[483.0],[887.0],[496.0],[799.0],[203.0],[426.0],[425.0],[151.0],[432.0],[1047.0],[615.0],[365.0],[309.0],[1341.0],[356.0],[1211.0],[874.0],[831.0],[1488.0],[1418.0],[1359.0],[713.0],[494.0],[161.0],[1193.0],[754.0],[962.0],[268.0],[637.0],[1376.0],[187.0],[1367.0],[356.0],[974.0],[349.0],[114.0],[1320.0],[959.0],[480.0],[426.0]
1112,[538.0],[553.0],[244.0],[1207.0],[460.0],[911.0],[837.0],[537.0],[1076.0],[637.0],[461.0],[863.0],[273.0],[1055.0],[808.0],[1066.0],[1291.0],[552.0],[962.0],[1218.0],[752.0],[1253.0],[105.0],[1260.0],[1248.0],[1389.0],[1455.0],[738.0],[510.0],[1389.0],[1376.0],[831.0],[988.0],[89.0],[949.0],[496.0],[713.0],[426.0],[538.0],[745.0],[738.0],[1172.0],[10.0],[813.0],[831.0],[1043.0],[903.0],[738.0],[883.0],[490.0]
1113,[805.0],[739.0],[538.0],[939.0],[286.0],[1191.0],[1085.0],[61.0],[496.0],[1264.0],[745.0],[327.0],[60.0],[1314.0],[463.0],[1341.0],[189.0],[212.0],[1207.0],[635.0],[878.0],[377.0],[883.0],[1043.0],[1352.0],[251.0],[349.0],[838.0],[1202.0],[1421.0],[1018.0],[1211.0],[1008.0],[37.0],[940.0],[377.0],[338.0],[150.0],[975.0],[872.0],[553.0],[426.0],[585.0],[548.0],[1352.0],[1419.0],[395.0],[494.0],[526.0],[781.0]
1114,[1193.0],[480.0],[746.0],[293.0],[1065.0],[482.0],[1259.0],[229.0],[644.0],[325.0],[1059.0],[1066.0],[426.0],[831.0],[1202.0],[325.0],[320.0],[182.0],[624.0],[1489.0],[839.0],[451.0],[871.0],[740.0],[515.0],[883.0],[1376.0],[1259.0],[360.0],[829.0],[1139.0],[703.0],[588.0],[339.0],[1496.0],[1045.0],[298.0],[635.0],[81.0],[482.0],[1330.0],[1362.0],[515.0],[177.0],[24.0],[584.0],[1374.0],[1471.0],[693.0],[793.0]
