Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
21,1.245285987854004,1.2896904945373535,1.186600685119629,1.242779016494751,1.2431328296661377,1.284458875656128,2.2484288215637207,1.252518892288208,1.2614200115203857,1.2671623229980469,1.2702445983886719,1.8622896671295166,1.23419189453125,1.2048730850219727,1.2677361965179443,1.2529709339141846,1.2816534042358398
22,1.220252513885498,1.2632558345794678,1.1546497344970703,1.2495412826538086,1.2013065814971924,1.2076892852783203,2.325216054916382,1.2159109115600586,1.219921350479126,1.2233762741088867,1.2265074253082275,1.814030647277832,1.2243411540985107,1.1880645751953125,1.2461249828338623,1.2315607070922852,1.2070038318634033
23,1.22743821144104,1.2626864910125732,1.165546178817749,1.2472753524780273,1.2103309631347656,1.2242913246154785,2.2874526977539062,1.2174134254455566,1.2319622039794922,1.229804277420044,1.2202799320220947,1.8321442604064941,1.2290022373199463,1.198258876800537,1.2461121082305908,1.237166166305542,1.2259588241577148
24,1.2034797668457031,1.1933543682098389,1.1282742023468018,1.1975772380828857,1.1570677757263184,1.216299057006836,2.9705746173858643,1.1911687850952148,1.1998825073242188,1.1946394443511963,1.1918649673461914,1.776573657989502,1.1919784545898438,1.1588563919067383,1.1913142204284668,1.1976945400238037,1.1928002834320068
25,1.2113902568817139,1.2131099700927734,1.165503740310669,1.240469217300415,1.1685380935668945,1.217400074005127,2.245906352996826,1.197345495223999,1.220762014389038,1.2093009948730469,1.2027790546417236,1.8011655807495117,1.208442211151123,1.175436019897461,1.2354333400726318,1.2181928157806396,1.2126860618591309
26,1.2061705589294434,1.1977753639221191,1.1322474479675293,1.197983741760254,1.1613848209381104,1.2118074893951416,2.9226632118225098,1.19338059425354,1.2028534412384033,1.1999280452728271,1.1954119205474854,1.7755584716796875,1.2004988193511963,1.165177822113037,1.197591781616211,1.2004077434539795,1.1954336166381836
27,1.2171814441680908,1.2092461585998535,1.1291413307189941,1.198204517364502,1.1724109649658203,1.2004704475402832,2.182227849960327,1.2038085460662842,1.2091898918151855,1.192143201828003,1.2111914157867432,1.7954630851745605,1.2079274654388428,1.1629652976989746,1.195462942123413,1.196117877960205,1.1938798427581787
28,1.2051794528961182,1.202495813369751,1.1520590782165527,1.2286860942840576,1.1543188095092773,1.2015087604522705,2.249354124069214,1.1921069622039795,1.2048256397247314,1.1994876861572266,1.197962999343872,1.7772448062896729,1.2053260803222656,1.166917085647583,1.222001075744629,1.206632375717163,1.1987810134887695
29,1.2358229160308838,1.2479403018951416,1.151271104812622,1.2113864421844482,1.1885478496551514,1.255005121231079,2.1844723224639893,1.2362806797027588,1.2526397705078125,1.2622604370117188,1.235196828842163,1.7904603481292725,1.2230381965637207,1.181525468826294,1.237605333328247,1.2158012390136719,1.2480299472808838
30,1.2278974056243896,1.2318034172058105,1.1818249225616455,1.2813477516174316,1.192098617553711,1.2167701721191406,2.361967086791992,1.23795485496521,1.2227818965911865,1.2256898880004883,1.2312026023864746,1.8290743827819824,1.2274246215820312,1.196960687637329,1.2543001174926758,1.257997989654541,1.2097389698028564
31,1.2354121208190918,1.211291790008545,1.1614165306091309,1.2334697246551514,1.172673225402832,1.2163071632385254,2.205068826675415,1.2157230377197266,1.211136817932129,1.225919246673584,1.2192819118499756,1.8239681720733643,1.2337558269500732,1.1959373950958252,1.2343003749847412,1.23154878616333,1.219236135482788
32,1.211639642715454,1.211296796798706,1.1409621238708496,1.210402011871338,1.1732816696166992,1.2160265445709229,2.831174612045288,1.1974363327026367,1.2094154357910156,1.214005947113037,1.2052550315856934,1.7918457984924316,1.2052748203277588,1.1697325706481934,1.208885908126831,1.2143104076385498,1.2116429805755615
33,1.2082500457763672,1.2006850242614746,1.1603705883026123,1.2074296474456787,1.1637952327728271,1.2032034397125244,2.4903082847595215,1.256835699081421,1.202505111694336,1.2048544883728027,1.2024569511413574,1.7802419662475586,1.2214429378509521,1.1677141189575195,1.2106797695159912,1.2048449516296387,1.2005276679992676
34,1.2304694652557373,1.2174444198608398,1.1660106182098389,1.2300992012023926,1.1829462051391602,1.2210447788238525,2.5451698303222656,1.2372808456420898,1.2216129302978516,1.225156545639038,1.2217285633087158,1.8099961280822754,1.2342150211334229,1.1901578903198242,1.2227287292480469,1.2219340801239014,1.2271008491516113
